GroupID	RAT_ID	Surgery	Time	BVTV	BSBV	TbTh	TbSp	TbN	TbPf	FD	ConnD	vBMD
SCI2	R2219	SCI	2W	34.78137379	33.05908763	0.10303276	0.23386016	3.37575886	3.57667087	2.55248548	119.1537101	0.510999
SCI2	R2319	SCI	2W	37.99567195	32.19499399	0.10215428	0.22057272	3.71944018	1.90557589	2.55367863	125.7844071	0.5500229
SCI2	R3519	SCI	2W	36.01866915	30.24755456	0.11618449	0.2370314	3.1001271	3.45675344	2.53110697	104.656385	0.525665
SCI2	R3619	SCI	2W	35.82751335	29.74277576	0.11490073	0.26989449	3.11812768	1.80932163	2.5449135	100.9036065	0.5248532
SCI2	R4519	SCI	2W	38.52885918	33.17464688	0.10015746	0.22401736	3.84682874	0.94815585	2.55436457	142.9980964	0.5527948
SHAM2	R3319	SHAM	2W	35.54357676	31.59117512	0.10610342	0.24899146	3.34989935	1.78291641	2.5403082	103.79643	0.5133149
SHAM2	R3419	SHAM	2W	42.1301648	29.92744184	0.11097249	0.20294713	3.79645119	1.11922588	2.56024315	129.3885964	0.583305
SHAM2	R5519	SHAM	2W	37.70761374	30.94497212	0.10880641	0.23443794	3.46556907	1.52262564	2.55567457	115.9541662	0.5472104
SHAM2	R1119	SHAM	2W	35.0935767	30.65974002	0.108661	0.25860542	3.2296387	2.00158812	2.54759814	97.70254562	0.5073889
SHAM2	R1219	SHAM	2W	38.63333316	30.39144881	0.10847871	0.22641635	3.56137476	1.38988164	2.54936463	113.5714211	0.5555964
SHAM2	R2419	SHAM	2W	36.33701815	29.53099864	0.11280179	0.2613353	3.22131566	1.65922709	2.55423334	91.728234	0.5210538
SCI4	R0819	SCI	4W	30.91655199	34.91283975	0.09969429	0.26358533	3.1011356	3.89046083	2.52825464	111.9907073	0.4742839
SCI4	R3019	SCI	4W	32.79038522	33.30429193	0.10325528	0.25167525	3.17566197	3.06510816	2.57095494	113.2421966	0.4941205
SCI4	R4319	SCI	4W	28.19848707	35.30164758	0.09790307	0.27546458	2.88024531	4.33972715	2.51463169	88.77399647	0.4532923
SCI4	R4419	SCI	4W	31.50342248	33.15798012	0.10407636	0.26101118	3.02695286	3.48640795	2.53402382	97.39374099	0.4801551
SCI4	R5219	SCI	4W	28.27322778	37.42610316	0.09525003	0.26662853	2.96831698	5.61337866	2.49797076	112.5722967	0.4445736
SCI4	R5319	SCI	4W	23.06097146	39.4162851	0.08899951	0.31039471	2.59113476	6.75344568	2.50051207	89.39811499	0.3883626
SCI4	R5419	SCI	4W	21.89567798	39.86282724	0.08981297	0.31862948	2.4379195	7.07033444	2.46147693	87.11460862	0.3740699
SCI4	R5619	SCI	4W	36.27621559	31.87700084	0.1086384	0.22975177	3.33917061	2.73814697	2.54192736	123.8150832	0.5320281
SHAM4	R1819	SHAM	4W	32.91386264	31.82568483	0.10792419	0.25332579	3.04972062	3.29309805	2.53672408	91.72858386	0.4937932
SHAM4	R1919	SHAM	4W	36.2273061	33.00210608	0.10178052	0.23393282	3.55935542	2.1014866	2.55147815	130.0802046	0.5388939
SHAM4	R3919	SHAM	4W	36.72488018	33.18734711	0.10073855	0.23608791	3.64556356	1.47582848	2.54738754	136.1199369	0.5292942
SHAM4	R4019	SHAM	4W	35.80281222	31.76949844	0.10702375	0.24380833	3.34531456	2.1507477	2.54977769	122.7829563	0.5325038
SHAM4	R4919	SHAM	4W	35.65112327	33.29947039	0.10045379	0.24204012	3.54900734	1.16152085	2.56161915	143.1609852	0.5204904
SHAM4	R5019	SHAM	4W	39.66616743	28.52920277	0.11579415	0.24116216	3.42557617	1.21366644	2.57455967	103.0910627	0.5585837
